Date,Open,High,Low,Close
10/14/1981,"118.80","120.97","118.38","118.80"
10/13/1981,"120.78","122.37","119.98","120.78"
10/12/1981,"121.21","122.37","120.17","121.21"
10/09/1981,"121.45","123.28","120.63","121.45"
10/08/1981,"122.31","123.08","120.23","122.31"
10/07/1981,"121.31","121.87","119.09","121.31"
10/06/1981,"119.39","121.39","118.08","119.39"
10/05/1981,"119.51","121.54","118.61","119.51"
10/02/1981,"119.36","120.16","117.07","119.36"
10/01/1981,"117.08","117.66","115.00","117.08"
09/30/1981,"116.18","117.05","114.60","116.18"
09/29/1981,"115.94","117.75","114.75","115.94"
09/28/1981,"115.53","115.83","110.19","115.53"
09/25/1981,"112.77","114.69","111.64","112.77"
09/24/1981,"115.01","117.47","114.32","115.01"
09/23/1981,"115.65","116.68","113.60","115.65"
09/22/1981,"116.68","118.19","115.93","116.68"
09/21/1981,"117.24","118.07","115.04","117.24"
09/18/1981,"116.26","117.69","115.16","116.26"
09/17/1981,"117.15","119.87","116.63","117.15"
09/16/1981,"118.87","120.00","117.89","118.87"
09/15/1981,"119.77","121.77","119.27","119.77"
09/14/1981,"120.66","122.00","119.67","120.66"
09/11/1981,"121.61","122.13","119.29","121.61"
09/10/1981,"120.14","122.18","118.33","120.14"
09/09/1981,"118.40","118.78","117.74","118.40"
09/08/1981,"117.98","120.12","116.85","117.98"
09/04/1981,"120.07","121.54","119.24","120.07"
09/03/1981,"121.24","124.16","120.82","121.24"
09/02/1981,"123.49","124.58","122.54","123.49"
09/01/1981,"123.02","123.92","121.59","123.02"
08/31/1981,"122.79","125.58","122.29","122.79"
08/28/1981,"124.08","125.09","122.85","124.08"
08/27/1981,"123.51","125.31","122.90","123.51"
08/26/1981,"124.96","126.17","123.99","124.96"
08/25/1981,"125.13","125.77","123.00","125.13"
08/24/1981,"125.50","128.59","125.02","125.50"
08/21/1981,"129.23","131.06","128.70","129.23"
08/20/1981,"130.69","131.74","124.84","130.69"
08/19/1981,"130.49","131.20","128.99","130.49"
08/18/1981,"130.11","131.75","129.10","130.11"
08/17/1981,"131.22","132.19","131.62","131.22"
08/14/1981,"132.49","134.33","131.91","132.49"
08/13/1981,"133.51","134.58","132.51","133.51"
08/12/1981,"133.40","135.18","132.73","133.40"
08/11/1981,"133.85","134.63","132.09","133.85"
08/10/1981,"132.54","133.32","130.83","132.54"
08/07/1981,"131.75","133.03","130.96","131.75"
08/06/1981,"132.64","134.09","131.74","132.64"
08/05/1981,"132.67","133.39","130.76","132.67"
08/04/1981,"131.18","131.86","129.43","131.18"
08/03/1981,"130.48","131.74","129.42","130.48"
07/31/1981,"130.92","131.78","129.60","130.92"
07/30/1981,"130.01","130.68","128.56","130.01"
07/29/1981,"129.16","130.39","128.37","129.16"
07/28/1981,"129.14","130.44","128.28","129.14"
07/27/1981,"129.90","130.67","128.43","129.90"
07/24/1981,"128.46","129.31","127.11","128.46"
07/23/1981,"127.40","128.26","125.96","127.40"
07/22/1981,"127.13","129.72","126.70","127.13"
07/21/1981,"128.34","129.60","127.08","128.34"
07/20/1981,"128.72","130.60","127.98","128.72"
07/17/1981,"130.76","131.60","129.49","130.76"
07/16/1981,"130.34","131.41","129.30","130.34"
07/15/1981,"130.23","131.59","128.89","130.23"
07/14/1981,"129.65","130.78","128.14","129.65"
07/13/1981,"129.64","130.82","128.79","129.64"
07/10/1981,"129.37","129.53","129.21","129.37"
07/09/1981,"129.30","130.08","127.57","129.30"
07/08/1981,"128.32","129.57","126.95","128.32"
07/07/1981,"128.24","129.60","126.39","128.24"
07/06/1981,"127.37","128.99","126.44","127.37"
07/02/1981,"128.64","130.48","127.84","128.64"
07/01/1981,"129.77","131.69","129.04","129.77"
